EconomicEfficiency,EffectivenessScore,EquipmentAdvantage,KillAssistRatio,StealthKillsRatio,KDA
0.0008820935019112026,6,-1000.0,3.0,0.0,3.0
0.0,0,300.0,0.0,0.0,0.0
0.0,0,300.0,0.0,0.0,0.0
0.0,0,400.0,0.0,0.0,0.0
0.0004544421722335833,5,0.0,1.0,0.0,3.0
0.00019227071716977504,2,-670.0,1.0,1.0,0.5
0.0,0,-370.0,0.0,0.0,0.0
0.0,0,1580.0,0.0,0.0,0.0
0.0,0,-270.0,0.0,0.0,0.0
0.0003570790930191037,4,-270.0,2.0,0.0,1.0
0.0,0,90.0,0.0,0.0,0.0
0.00044933722758930576,4,-160.0,2.0,0.0,2.0
0.0,0,-210.0,0.0,0.0,0.0
0.0,0,190.0,0.0,0.0,0.0
0.0,0,90.0,0.0,0.0,0.0
0.0,0,-3490.0,0.0,0.0,0.0
0.0005356186395286556,6,410.0,3.0,1.0,1.5
0.0,0,2260.0,0.0,0.0,0.0
0.00017853954650955185,2,410.0,1.0,0.0,1.0
0.00017853954650955185,2,410.0,1.0,0.0,1.0
0.0013315579227696406,3,-60.0,0.5,1.0,1.0
0.0,0,-10.0,0.0,0.0,0.0
0.0,1,190.0,0.0,0.0,0.5
0.0012484394506866417,2,-10.0,1.0,1.0,0.5
0.0028530670470756064,4,-110.0,2.0,0.0,2.0
0.0,0,120.0,0.0,0.0,0.0
0.0022197558268590455,4,170.0,2.0,0.0,1.0
0.0023501762632197414,5,120.0,1.0,0.0,3.0
0.0,0,120.0,0.0,0.0,0.0
0.004975124378109453,2,-530.0,1.0,0.0,0.5
0.0,0,-10.0,0.0,0.0,0.0
0.0007401924500370096,2,-160.0,1.0,1.0,0.5
0.0006246096189881324,2,90.0,1.0,0.0,0.5
0.0,0,190.0,0.0,0.0,0.0
0.0,0,-110.0,0.0,0.0,0.0
0.0,0,-2270.0,0.0,0.0,0.0
0.014925373134328358,6,-2270.0,3.0,0.3333333333333333,3.0
0.0,0,1780.0,0.0,0.0,0.0
0.0005712653527563553,4,1030.0,2.0,0.0,1.0
0.0,0,1730.0,0.0,0.0,0.0
0.0013324450366422385,4,-580.0,2.0,0.0,1.0
0.00041649312786339027,3,320.0,0.5,0.0,1.0
0.0,0,420.0,0.0,0.0,0.0
0.0,1,-180.0,0.0,0.0,0.5
0.0009519276534983341,4,20.0,2.0,0.0,2.0
0.00020828993959591752,2,80.0,1.0,0.0,0.5
0.0,0,-20.0,0.0,0.0,0.0
0.0,0,-20.0,0.0,0.0,0.0
0.0,0,-20.0,0.0,0.0,0.0
